wallet,score,wins,losses,samples,winrate,wlb,seen,last_seen_ts,last_seen_utc,blue_txs,beluga_txs,whale_score
CVFLRkWq2eygghUSUgAR6pk9qA7RgVWLBas9KJ7XXm56,-8,4,8,12,0.3333333333333333,0.13811783989736134,19,1767542906,2026-01-04T16:08:26,0,0,0.0
BX7RBeEg7cBPySLpbj5k5iPtnakTf7GyoGVCZnbxgVTc,-8,4,8,12,0.3333333333333333,0.13811783989736134,26,1767538880,2026-01-04T15:01:20,0,2,0.0
FfLCJfZVSJ3iBLpy38tZbXSvHGHUjJH1pFzfUcF9LuL8,-8,4,8,12,0.3333333333333333,0.13811783989736134,14,1767507986,2026-01-04T06:26:26,0,0,0.0
6mfC5EyNYCY1A8rA2U7EFCfrpPEV6zwHqt1DGUDNKus8,-8,4,8,12,0.3333333333333333,0.13811783989736134,22,1767563033,2026-01-04T21:43:53,0,0,0.0
BMnj18xJxeYyCL6Zr7rpwPSeb5Xt39r4gU9nvJzQxHQt,-8,4,8,12,0.3333333333333333,0.13811783989736134,24,1767537778,2026-01-04T14:42:58,0,0,0.0
3AAeH6NXhSzgXRAYegT8nYMuBtyLrNKVgqCumYg4o5DU,-8,4,8,12,0.3333333333333333,0.13811783989736134,16,1767507986,2026-01-04T06:26:26,0,0,0.0
DZFs7C1APm2cgePVXgu3bunRnT2gSfxASLveYgiF1Nrd,-8,4,8,12,0.3333333333333333,0.13811783989736134,39,1767546931,2026-01-04T17:15:31,0,0,0.0
9jdZEZLY1243KEcb5xMh3aiXqs1sY7AqxgBiW5GUSu19,-8,4,8,12,0.3333333333333333,0.13811783989736134,14,1767508798,2026-01-04T06:39:58,0,0,0.0
D67SUiELCqMyRtGkWJj46WRoTV4ppVhc6q5yVoy7eFFY,-8,4,8,12,0.3333333333333333,0.13811783989736134,16,1767508638,2026-01-04T06:37:18,0,0,0.0
8wdHFd6E3zZvPVpZBzj9PPRnEpZYf2VhtYarTaMrbaXx,-8,4,8,12,0.3333333333333333,0.13811783989736134,12,1767507986,2026-01-04T06:26:26,0,0,0.0
BrU9F7mGHu1KQg5FqHkiuiGysbAmojncox77Tuwsgn7u,-8,3,7,10,0.3,0.10778928748621182,24,1767542520,2026-01-04T16:02:00,0,7,-1.0
9kEVJA8TCf6y6Tiek1tdRBSSiLYZVLATMRCQzAF25ozP,-8,3,7,10,0.3,0.10778928748621182,143,1767563668,2026-01-04T21:54:28,0,0,0.0
EYEGQ8dxtLhCph2mZK6AMpeiJNSJ6YcghnCptQGS5ynb,-8,2,6,8,0.25,0.07147768885802765,31,1767545060,2026-01-04T16:44:20,0,0,0.0
8pRGq7Wpj86UYxxWQ4rFwL7iS83XTZ4X1oC2ZekoWpsx,-8,2,6,8,0.25,0.07147768885802765,21,1767563707,2026-01-04T21:55:07,0,6,-2.0
9N7UHaVVHcooz4694pUbreidvdyn5jaFppJ22yW31zHg,-10,5,10,15,0.3333333333333333,0.15176100694691236,19,1767507986,2026-01-04T06:26:26,0,0,0.0
2EZmPC8KCmGSXJ9XrdWG6DLJR1bRpiiEXHPhSGFZx2ur,-10,4,9,13,0.3076923076923077,0.1268049716161809,22,1767543296,2026-01-04T16:14:56,0,0,0.0
8d3iL5Jwrwn2qMSSg1goAgUKmb8ghAxZxLNSUv5kBH6W,-10,3,7,10,0.3,0.10778928748621182,11,1767507986,2026-01-04T06:26:26,0,0,0.0
FJxzbRHbhwfdmYdVNk1kL2QC96CXptUqpKXsm4noiS6D,-10,3,7,10,0.3,0.10778928748621182,13,1767541771,2026-01-04T15:49:31,0,0,0.0
G4MQZpoLvfRZDTdSbtbMDXf4J8GQ9VGMyzKysLhyfotL,-10,3,7,10,0.3,0.10778928748621182,11,1767507986,2026-01-04T06:26:26,0,0,0.0
94jNYfRkKQPwcNZWd6iuN9m19D3s5hoxv9EgeBRJV7io,-10,3,7,10,0.3,0.10778928748621182,12,1767507542,2026-01-04T06:19:02,0,0,0.0
